source_db,query_id,record_id,doi,title,year,authors,publication,url,search_date
OpenAlex,Q2,https://openalex.org/W3104024735,10.1002/ajb2.1559,Light availability influences the intensity of nectar robbery and its effects on reproduction in a tropical shrub via multiple pathways,2020,Gordon M. Fitch; John H. Vandermeer,American Journal of Botany,https://doi.org/10.1002/ajb2.1559,2026-09-25
OpenAlex,Q2,https://openalex.org/W621648762,10.1007/s11829-015-9379-7,The ecological role of extremely long-proboscid Neotropical butterflies (Lepidoptera: Hesperiidae) in plant-pollinator networks,2015,Julia Bauder; ANDREW DAVID WARREN; Harald Wolfgang Krenn,Arthropod-Plant Interactions,https://doi.org/10.1007/s11829-015-9379-7,2026-09-25
OpenAlex,Q2,https://openalex.org/W4415079374,10.15381/rpb.v32i3.30866,Nectar robbery in Campsidium valdivianum: observations on floral morphology and the role of bumblebees and birds in southern Chile,2025,Carlos E. Valdivia; José I. Orellana; Alberto Gantz,Revista Peruana de Biología,https://doi.org/10.15381/rpb.v32i3.30866,2026-09-25
OpenAlex,Q2,https://openalex.org/W4285087829,10.1038/s41598-022-16237-9,The Campsis-Icterus association as a model system for avian nectar-robbery studies,2022,Gary R. Graves,Scientific Reports,https://doi.org/10.1038/s41598-022-16237-9,2026-09-25
OpenAlex,Q2,https://openalex.org/W4402018188,10.1186/s12870-024-05495-6,Genotypic variation in blueberry flower morphology and nectar reward content affects pollinator attraction in a diverse breeding population,2024,Juliana Cromie; John J. Ternest; Andrew P. Komatz; Paul Adunola; Camila Ferreira Azevedo; Rachel E. Mallinger; Patricio Muńoz,BMC Plant Biology,https://doi.org/10.1186/s12870-024-05495-6,2026-09-25
OpenAlex,Q2,https://openalex.org/W3164242958,10.1186/s40657-021-00256-7,The flowerpiercers interactions with a community of high Andean plants,2021,Jairo Andrés Cuta-Pineda; Luis Alejandro Arias-Sosa; Roxibell C. Pelayo,Avian Research,https://doi.org/10.1186/s40657-021-00256-7,2026-09-25
OpenAlex,Q2,https://openalex.org/W4402499914,10.1111/aec.13591,Long corolla flowers in Tropical Andes favour nectar robbing by the Black Metaltail hummingbird: A study using citizen science and field observations,2024,Ettore Camerlenghi; Giselle Mangini; Rodolfo O. Anderson; Albert Cruz‐Gispert; R. Loosveld; Paúl Gonzáles; Sergio Nolazco,Austral Ecology,https://doi.org/10.1111/aec.13591,2026-09-25
OpenAlex,Q2,https://openalex.org/W7141773724,,Ecological and evolutionary implications of nectar robbery,2015,Sandra Victoria Rojas Nossa,Investigo Institutional repository of UVigo (Universidade de Vigo),http://hdl.handle.net/11093/828,2026-09-25
OpenAlex,Q2,https://openalex.org/W2018391664,10.1303/aez.2010.37,Impacts of alien bees on native plant-pollinator relationships: A review with special emphasis on plant reproduction,2010,Ikumi Dohzono; Jun Yokoyama,Applied Entomology and Zoology,https://doi.org/10.1303/aez.2010.37,2026-09-25
OpenAlex,Q2,https://openalex.org/W2438176321,10.21273/hortsci.48.2.136,"Blueberry Floral Attributes and Their Effect on the Pollination Efficiency of an Oligolectic Bee, Osmia ribifloris Cockerell (Megachilidae: Apoidea)",2013,Blair Joseph Sampson; Stephen J. Stringer; Donna A. Marshall,HortScience,https://doi.org/10.21273/hortsci.48.2.136,2026-09-25
