effect_id,study_id,study_cluster_id,doi,taxon,route,trait_role,trait_class,outcome_class,design_class,effect_input_type,effect_metric,effect_value,standard_error,n_treatment,n_control,mean_treatment,sd_treatment,mean_control,sd_control,event_treatment,non_event_treatment,event_control,non_event_control,correlation_r,n_total,effect_orientation,is_primary_effect,analysis_status,source_basis,source_locator,extraction_note
LGF_Dengetal_2015,Dengetal_2015,Dengetal_2015,,Alpinia_roxburghii,H_to_fitness,H,nectar_larceny,female_reproductive_success,comparative,reported_effect,log_response_ratio,-0.1615839512,0.05978504213,8,8,,,,,,,,,,16,positive_is_more_declared_trait_more_declared_outcome,true,eligible_for_quantitative_synthesis,deposited_effect_size_table_of_published_synthesis,https://github.com/lacaleal/Meta-analysis_larcenists@04663ff895b300fc957c4a32f661e5f73ca95217:complete_hedges.csv rows[sample]=260;261; synthesis_doi=10.1002/ecy.70036; primary_study_label=Dengetal_2015,"Recomputed as ln(mean_larcenist/mean_control) from deposited group means; 2 deposited effect(s) aggregated to one cluster effect at within-cluster correlation rho_w=1. Experimental unit is the unit the source study reported n over; n_treatment/n_control are means across the constituent contrasts, which may share plants, so they are not summed. Secondary analysis of a deposited table; not an independent extraction from the primary article. Primary-study DOI unresolved: Crossref and OpenAlex are refused by this environment's egress policy, so no identifier is guessed."
LGF_Elyiahuetak2015,Elyiahuetak2015,Elyiahuetak2015,,Arctostaphylos_pungens,H_to_fitness,H,nectar_larceny,female_reproductive_success,comparative,reported_effect,log_response_ratio,-0.4102136843,0.4274210323,230.4,372,,,,,,,,,,602.4,positive_is_more_declared_trait_more_declared_outcome,true,eligible_for_quantitative_synthesis,deposited_effect_size_table_of_published_synthesis,https://github.com/lacaleal/Meta-analysis_larcenists@04663ff895b300fc957c4a32f661e5f73ca95217:complete_hedges.csv rows[sample]=71;72;73;74;75; synthesis_doi=10.1002/ecy.70036; primary_study_label=Elyiahuetak2015,"Recomputed as ln(mean_larcenist/mean_control) from deposited group means; 5 deposited effect(s) aggregated to one cluster effect at within-cluster correlation rho_w=1. Experimental unit is the unit the source study reported n over; n_treatment/n_control are means across the constituent contrasts, which may share plants, so they are not summed. Secondary analysis of a deposited table; not an independent extraction from the primary article. Primary-study DOI unresolved: Crossref and OpenAlex are refused by this environment's egress policy, so no identifier is guessed."
LGF_Ferreiraetal2020,Ferreiraetal2020,Ferreiraetal2020,,Cleistocactus_baumanii,H_to_fitness,H,nectar_larceny,female_reproductive_success,comparative,reported_effect,log_response_ratio,-0.4201173849,0.1310241421,15,15,,,,,,,,,,30,positive_is_more_declared_trait_more_declared_outcome,true,eligible_for_quantitative_synthesis,deposited_effect_size_table_of_published_synthesis,https://github.com/lacaleal/Meta-analysis_larcenists@04663ff895b300fc957c4a32f661e5f73ca95217:complete_hedges.csv rows[sample]=76; synthesis_doi=10.1002/ecy.70036; primary_study_label=Ferreiraetal2020,"Recomputed as ln(mean_larcenist/mean_control) from deposited group means; 1 deposited effect(s) aggregated to one cluster effect at within-cluster correlation rho_w=1. Experimental unit is the unit the source study reported n over; n_treatment/n_control are means across the constituent contrasts, which may share plants, so they are not summed. Secondary analysis of a deposited table; not an independent extraction from the primary article. Primary-study DOI unresolved: Crossref and OpenAlex are refused by this environment's egress policy, so no identifier is guessed."
LGF_Fumero-Caban&Melendez-Ackerman_2013,Fumero-Caban&Melendez-Ackerman_2013,Fumero-Caban&Melendez-Ackerman_2013,,Pitcairnia_augustifolia,H_to_fitness,H,nectar_larceny,female_reproductive_success,comparative,reported_effect,log_response_ratio,0.09274180814,0.1375545465,15,15,,,,,,,,,,30,positive_is_more_declared_trait_more_declared_outcome,true,eligible_for_quantitative_synthesis,deposited_effect_size_table_of_published_synthesis,https://github.com/lacaleal/Meta-analysis_larcenists@04663ff895b300fc957c4a32f661e5f73ca95217:complete_hedges.csv rows[sample]=83; synthesis_doi=10.1002/ecy.70036; primary_study_label=Fumero-Caban&Melendez-Ackerman_2013,"Recomputed as ln(mean_larcenist/mean_control) from deposited group means; 1 deposited effect(s) aggregated to one cluster effect at within-cluster correlation rho_w=1. Experimental unit is the unit the source study reported n over; n_treatment/n_control are means across the constituent contrasts, which may share plants, so they are not summed. Secondary analysis of a deposited table; not an independent extraction from the primary article. Primary-study DOI unresolved: Crossref and OpenAlex are refused by this environment's egress policy, so no identifier is guessed."
LGF_Gallen&Butchart2003,Gallen&Butchart2003,Gallen&Butchart2003,,Polemonium_viscosum,H_to_fitness,H,nectar_larceny,female_reproductive_success,comparative,reported_effect,log_response_ratio,0.2617046533,0.2710538435,22,22,,,,,,,,,,44,positive_is_more_declared_trait_more_declared_outcome,true,eligible_for_quantitative_synthesis,deposited_effect_size_table_of_published_synthesis,https://github.com/lacaleal/Meta-analysis_larcenists@04663ff895b300fc957c4a32f661e5f73ca95217:complete_hedges.csv rows[sample]=85;86; synthesis_doi=10.1002/ecy.70036; primary_study_label=Gallen&Butchart2003,"Recomputed as ln(mean_larcenist/mean_control) from deposited group means; 2 deposited effect(s) aggregated to one cluster effect at within-cluster correlation rho_w=1. Experimental unit is the unit the source study reported n over; n_treatment/n_control are means across the constituent contrasts, which may share plants, so they are not summed. Secondary analysis of a deposited table; not an independent extraction from the primary article. Primary-study DOI unresolved: Crossref and OpenAlex are refused by this environment's egress policy, so no identifier is guessed."
LGF_Gelvez-Zuningaetal2016,Gelvez-Zuningaetal2016,Gelvez-Zuningaetal2016,,Collaea_speciosa,H_to_fitness,H,nectar_larceny,female_reproductive_success,comparative,reported_effect,log_response_ratio,0.5465437064,0.3047691498,570,716,,,,,,,,,,1286,positive_is_more_declared_trait_more_declared_outcome,true,eligible_for_quantitative_synthesis,deposited_effect_size_table_of_published_synthesis,https://github.com/lacaleal/Meta-analysis_larcenists@04663ff895b300fc957c4a32f661e5f73ca95217:complete_hedges.csv rows[sample]=87; synthesis_doi=10.1002/ecy.70036; primary_study_label=Gelvez-Zuningaetal2016,"Recomputed as ln(mean_larcenist/mean_control) from deposited group means; 1 deposited effect(s) aggregated to one cluster effect at within-cluster correlation rho_w=1. Experimental unit is the unit the source study reported n over; n_treatment/n_control are means across the constituent contrasts, which may share plants, so they are not summed. Secondary analysis of a deposited table; not an independent extraction from the primary article. Primary-study DOI unresolved: Crossref and OpenAlex are refused by this environment's egress policy, so no identifier is guessed."
LGF_Hansen&Muller2009,Hansen&Muller2009,Hansen&Muller2009,,Roussea_simplex,H_to_fitness,H,nectar_larceny,female_reproductive_success,comparative,reported_effect,log_response_ratio,-1.758650311,0.48039377,15,18,,,,,,,,,,33,positive_is_more_declared_trait_more_declared_outcome,true,eligible_for_quantitative_synthesis,deposited_effect_size_table_of_published_synthesis,https://github.com/lacaleal/Meta-analysis_larcenists@04663ff895b300fc957c4a32f661e5f73ca95217:complete_hedges.csv rows[sample]=93; synthesis_doi=10.1002/ecy.70036; primary_study_label=Hansen&Muller2009,"Recomputed as ln(mean_larcenist/mean_control) from deposited group means; 1 deposited effect(s) aggregated to one cluster effect at within-cluster correlation rho_w=1. Experimental unit is the unit the source study reported n over; n_treatment/n_control are means across the constituent contrasts, which may share plants, so they are not summed. Secondary analysis of a deposited table; not an independent extraction from the primary article. Primary-study DOI unresolved: Crossref and OpenAlex are refused by this environment's egress policy, so no identifier is guessed."
LGF_Hazlehurst&Karubian_2016,Hazlehurst&Karubian_2016,Hazlehurst&Karubian_2016,,Oreocallis_grandiflora,H_to_fitness,H,nectar_larceny,female_reproductive_success,comparative,reported_effect,log_response_ratio,0.01849282832,0.01593950927,15,15,,,,,,,,,,30,positive_is_more_declared_trait_more_declared_outcome,true,eligible_for_quantitative_synthesis,deposited_effect_size_table_of_published_synthesis,https://github.com/lacaleal/Meta-analysis_larcenists@04663ff895b300fc957c4a32f661e5f73ca95217:complete_hedges.csv rows[sample]=94;95; synthesis_doi=10.1002/ecy.70036; primary_study_label=Hazlehurst&Karubian_2016,"Recomputed as ln(mean_larcenist/mean_control) from deposited group means; 2 deposited effect(s) aggregated to one cluster effect at within-cluster correlation rho_w=1. Experimental unit is the unit the source study reported n over; n_treatment/n_control are means across the constituent contrasts, which may share plants, so they are not summed. Secondary analysis of a deposited table; not an independent extraction from the primary article. Primary-study DOI unresolved: Crossref and OpenAlex are refused by this environment's egress policy, so no identifier is guessed."
LGF_Heillingetal_2018,Heillingetal_2018,Heillingetal_2018,,Corydalis_caseana,H_to_fitness,H,nectar_larceny,female_reproductive_success,comparative,reported_effect,log_response_ratio,-0.01287957601,0.04064039669,7.5,7.5,,,,,,,,,,15,positive_is_more_declared_trait_more_declared_outcome,true,eligible_for_quantitative_synthesis,deposited_effect_size_table_of_published_synthesis,https://github.com/lacaleal/Meta-analysis_larcenists@04663ff895b300fc957c4a32f661e5f73ca95217:complete_hedges.csv rows[sample]=100;101;102;103; synthesis_doi=10.1002/ecy.70036; primary_study_label=Heillingetal_2018,"Recomputed as ln(mean_larcenist/mean_control) from deposited group means; 4 deposited effect(s) aggregated to one cluster effect at within-cluster correlation rho_w=1. Experimental unit is the unit the source study reported n over; n_treatment/n_control are means across the constituent contrasts, which may share plants, so they are not summed. Secondary analysis of a deposited table; not an independent extraction from the primary article. Primary-study DOI unresolved: Crossref and OpenAlex are refused by this environment's egress policy, so no identifier is guessed."
LGF_Higashietal,Higashietal,Higashietal,,Corydalis_ambigua,H_to_fitness,H,nectar_larceny,female_reproductive_success,comparative,reported_effect,log_response_ratio,-0.9514381196,0.1126901991,221,32,,,,,,,,,,253,positive_is_more_declared_trait_more_declared_outcome,true,eligible_for_quantitative_synthesis,deposited_effect_size_table_of_published_synthesis,https://github.com/lacaleal/Meta-analysis_larcenists@04663ff895b300fc957c4a32f661e5f73ca95217:complete_hedges.csv rows[sample]=104; synthesis_doi=10.1002/ecy.70036; primary_study_label=Higashietal,"Recomputed as ln(mean_larcenist/mean_control) from deposited group means; 1 deposited effect(s) aggregated to one cluster effect at within-cluster correlation rho_w=1. Experimental unit is the unit the source study reported n over; n_treatment/n_control are means across the constituent contrasts, which may share plants, so they are not summed. Secondary analysis of a deposited table; not an independent extraction from the primary article. Primary-study DOI unresolved: Crossref and OpenAlex are refused by this environment's egress policy, so no identifier is guessed."
