study_id,year,title_alias,source_note
Urcelay_Morales_Chalcoff_2006,2006,"Relationship between corolla length and floral larceny in the South American hummingbird-pollinated Campsidium valdivianum (Bignoniaceae)","No DOI is stored in the direct corpus; match by normalized title + year."
Riveros_Hernandez_NatesParra_2006,2006,"Morphological constraints and nectar robbing in three Andean bumble bee species (Hymenoptera, Apidae, Bombini)","No DOI is stored in the direct corpus; match by normalized title + year."
