scenario_id,defence,assurance,pollinator_service,floral_damage_pressure,relief_minus_joint_cost_ratio_K,boundary_type,lower_boundary_c_D,upper_boundary_c_D,classification_at_interval_low,classification_at_interval_high,interval_verdict
low_tracking_low_obstruction_low_shared_cost,0.8,0.0,0.2,0.5,0.6785714286,always_complementary,,,complementary,complementary,settled_complementary_regardless_of_c_D
low_tracking_low_obstruction_low_shared_cost,0.8,0.0,0.2,0.8,1.214285714,always_complementary,,,complementary,complementary,settled_complementary_regardless_of_c_D
low_tracking_low_obstruction_low_shared_cost,0.8,0.0,0.5,0.2,0.05714285714,two_sided_window,0.05995022144,5.768201523,substitutable,substitutable,settled_substitutable
low_tracking_low_obstruction_low_shared_cost,0.8,0.0,0.5,0.5,0.2714285714,two_sided_window,0.3628446269,3.005714442,complementary,substitutable,unsettled_interval_spans_boundary
low_tracking_low_obstruction_low_shared_cost,0.8,0.0,0.5,0.8,0.4857142857,always_complementary,,,complementary,complementary,settled_complementary_regardless_of_c_D
low_tracking_low_obstruction_low_shared_cost,0.8,0.0,0.8,0.2,0.03571428571,two_sided_window,0.03678077874,6.506200122,substitutable,substitutable,settled_substitutable
low_tracking_low_obstruction_low_shared_cost,0.8,0.0,0.8,0.5,0.1696428571,two_sided_window,0.1989031226,3.927615483,substitutable,substitutable,settled_substitutable
low_tracking_low_obstruction_low_shared_cost,0.8,0.0,0.8,0.8,0.3035714286,two_sided_window,0.4272809064,2.75855806,complementary,substitutable,unsettled_interval_spans_boundary
low_tracking_low_obstruction_low_shared_cost,0.8,0.5,0.2,0.2,0.1503759398,two_sided_window,0.1726483976,4.145929973,substitutable,substitutable,settled_substitutable
low_tracking_low_obstruction_low_shared_cost,0.8,0.5,0.2,0.5,0.7142857143,always_complementary,,,complementary,complementary,settled_complementary_regardless_of_c_D
low_tracking_low_obstruction_low_shared_cost,0.8,0.5,0.2,0.8,1.278195489,always_complementary,,,complementary,complementary,settled_complementary_regardless_of_c_D
low_tracking_low_obstruction_low_shared_cost,0.8,0.5,0.5,0.2,0.06015037594,two_sided_window,0.06327349282,5.686183615,substitutable,substitutable,settled_substitutable
low_tracking_low_obstruction_low_shared_cost,0.8,0.5,0.5,0.5,0.2857142857,two_sided_window,0.3904797495,2.894445773,complementary,substitutable,unsettled_interval_spans_boundary
low_tracking_low_obstruction_low_shared_cost,0.8,0.5,0.5,0.8,0.5112781955,always_complementary,,,complementary,complementary,settled_complementary_regardless_of_c_D
low_tracking_low_obstruction_low_shared_cost,0.8,0.5,0.8,0.2,0.03759398496,two_sided_window,0.03877853577,6.426719247,substitutable,substitutable,settled_substitutable
low_tracking_low_obstruction_low_shared_cost,0.8,0.5,0.8,0.5,0.1785714286,two_sided_window,0.2114907548,3.833026681,complementary,substitutable,unsettled_interval_spans_boundary
low_tracking_low_obstruction_low_shared_cost,0.8,0.5,0.8,0.8,0.3195488722,two_sided_window,0.4626936314,2.63910713,complementary,substitutable,unsettled_interval_spans_boundary
baseline,0.2,0.0,0.2,0.2,0.2708333333,two_sided_window,0.2868238899,21.98248923,complementary,substitutable,unsettled_interval_spans_boundary
baseline,0.2,0.0,0.2,0.5,1.302083333,two_sided_window,1.906489047,10.37918319,complementary,complementary,settled_complementary
baseline,0.2,0.0,0.2,0.8,2.333333333,always_complementary,,,complementary,complementary,settled_complementary_regardless_of_c_D
baseline,0.2,0.0,0.5,0.2,0.1083333333,two_sided_window,0.1107599089,27.72424919,substitutable,substitutable,settled_substitutable
baseline,0.2,0.0,0.5,0.5,0.5208333333,two_sided_window,0.5855423839,17.60156503,complementary,substitutable,unsettled_interval_spans_boundary
baseline,0.2,0.0,0.5,0.8,0.9333333333,two_sided_window,1.182308415,13.27400085,complementary,complementary,settled_complementary
baseline,0.2,0.0,0.8,0.2,0.06770833333,two_sided_window,0.06864430178,30.56142265,substitutable,substitutable,settled_substitutable
baseline,0.2,0.0,0.8,0.5,0.3255208333,two_sided_window,0.3490579873,20.78210563,complementary,substitutable,unsettled_interval_spans_boundary
baseline,0.2,0.0,0.8,0.8,0.5833333333,two_sided_window,0.6665143335,16.80267216,complementary,substitutable,unsettled_interval_spans_boundary
baseline,0.2,0.5,0.2,0.2,0.2850877193,two_sided_window,0.302891682,21.64976473,complementary,substitutable,unsettled_interval_spans_boundary
baseline,0.2,0.5,0.2,0.5,1.370614035,two_sided_window,2.076056356,9.87244199,complementary,complementary,settled_complementary
baseline,0.2,0.5,0.2,0.8,2.456140351,always_complementary,,,complementary,complementary,settled_complementary_regardless_of_c_D
baseline,0.2,0.5,0.5,0.2,0.1140350877,two_sided_window,0.116728639,27.41096015,substitutable,substitutable,settled_substitutable
baseline,0.2,0.5,0.5,0.5,0.548245614,two_sided_window,0.6207109944,17.24186028,complementary,substitutable,unsettled_interval_spans_boundary
baseline,0.2,0.5,0.5,0.8,0.9824561404,two_sided_window,1.265386693,12.85853803,complementary,complementary,settled_complementary
baseline,0.2,0.5,0.8,0.2,0.07127192982,two_sided_window,0.07231015603,30.25448595,substitutable,substitutable,settled_substitutable
baseline,0.2,0.5,0.8,0.5,0.3426535088,two_sided_window,0.3688897059,20.44350334,complementary,substitutable,unsettled_interval_spans_boundary
baseline,0.2,0.5,0.8,0.8,0.6140350877,two_sided_window,0.7073470996,16.43583657,complementary,complementary,settled_complementary
baseline,0.5,0.0,0.2,0.2,0.2708333333,two_sided_window,0.3174153998,6.290623778,complementary,substitutable,unsettled_interval_spans_boundary
baseline,0.5,0.0,0.2,0.5,1.302083333,always_complementary,,,complementary,complementary,settled_complementary_regardless_of_c_D
baseline,0.5,0.0,0.2,0.8,2.333333333,always_complementary,,,complementary,complementary,settled_complementary_regardless_of_c_D
baseline,0.5,0.0,0.5,0.2,0.1083333333,two_sided_window,0.114729556,8.792995691,substitutable,substitutable,settled_substitutable
baseline,0.5,0.0,0.5,0.5,0.5208333333,two_sided_window,0.7625956188,4.151673276,complementary,complementary,settled_complementary
baseline,0.5,0.0,0.5,0.8,0.9333333333,always_complementary,,,complementary,complementary,settled_complementary_regardless_of_c_D
baseline,0.5,0.0,0.8,0.2,0.06770833333,two_sided_window,0.07012444773,9.987825915,substitutable,substitutable,settled_substitutable
baseline,0.5,0.0,0.8,0.5,0.3255208333,two_sided_window,0.3969951375,5.739349321,complementary,substitutable,unsettled_interval_spans_boundary
baseline,0.5,0.0,0.8,0.8,0.5833333333,two_sided_window,0.9275276464,3.688353077,complementary,complementary,settled_complementary
baseline,0.5,0.5,0.2,0.2,0.2850877193,two_sided_window,0.3374924521,6.139356622,complementary,substitutable,unsettled_interval_spans_boundary
baseline,0.5,0.5,0.2,0.5,1.370614035,always_complementary,,,complementary,complementary,settled_complementary_regardless_of_c_D
baseline,0.5,0.5,0.2,0.8,2.456140351,always_complementary,,,complementary,complementary,settled_complementary_regardless_of_c_D
baseline,0.5,0.5,0.5,0.2,0.1140350877,two_sided_window,0.1211566728,8.659905893,substitutable,substitutable,settled_substitutable
baseline,0.5,0.5,0.5,0.5,0.548245614,two_sided_window,0.8304225425,3.948976796,complementary,complementary,settled_complementary
baseline,0.5,0.5,0.5,0.8,0.9824561404,always_complementary,,,complementary,complementary,settled_complementary_regardless_of_c_D
baseline,0.5,0.5,0.8,0.2,0.07127192982,two_sided_window,0.07395678617,9.859344891,substitutable,substitutable,settled_substitutable
baseline,0.5,0.5,0.8,0.5,0.3426535088,two_sided_window,0.4234550038,5.580699182,complementary,substitutable,unsettled_interval_spans_boundary
baseline,0.5,0.5,0.8,0.8,0.6140350877,two_sided_window,1.025219095,3.455121877,complementary,complementary,settled_complementary
baseline,0.8,0.0,0.2,0.2,0.2708333333,two_sided_window,0.3617246798,3.010409862,complementary,substitutable,unsettled_interval_spans_boundary
baseline,0.8,0.0,0.2,0.5,1.302083333,always_complementary,,,complementary,complementary,settled_complementary_regardless_of_c_D
baseline,0.8,0.0,0.2,0.8,2.333333333,always_complementary,,,complementary,complementary,settled_complementary_regardless_of_c_D
baseline,0.8,0.0,0.5,0.2,0.1083333333,two_sided_window,0.1191697166,4.717196239,substitutable,substitutable,settled_substitutable
