source_row,paper,location,outcome_lane,consumer_role,mean_first,sd_first,n_first,mean_second,sd_second,n_second,hedges_g_first_minus_second,sampling_variance,standard_error,selection_role
3,Adler and Irwin 2005,field,visit number,Bee,1.71,1.541103500742244,38.0,2.0,1.8856563843924479,37.0,-0.16689929761303973,0.053533642942328575,0.23137338417756536,Adler_2004_natural_range_primary
17,Jones and Agrawal 2016,lab,visit number,Bee,6.0,5.979397963005974,28.0,5.26,4.815267386137555,28.0,0.13441194432508944,0.07159592603562346,0.2675732160459965,Jones_legitimate_bee_only
40,Manson et al 2013,field,visit number,Bee,5.706,3.68,51.0,5.314,3.67,70.0,0.10601609949568312,0.0339406512668676,0.18422988754630018,Manson_source_order_1_lower_dose
41,Manson et al 2013,field,visit number,Bee,4.094,2.84,53.0,5.314,3.67,70.0,-0.3631443888428534,0.033698797224782404,0.1835723205819289,Manson_source_order_2_lower_dose
42,Manson et al 2013,field,visit number,Bee,2.823,2.11,62.0,5.314,3.67,70.0,-0.8148326601258308,0.03256849078025185,0.18046742304981544,Manson_source_order_3_higher_dose
43,Manson et al 2013,field,visit number,Bee,2.422,1.9,64.0,5.314,3.67,70.0,-0.9713591877658175,0.03348462494478943,0.18298804589614756,Manson_source_order_4_higher_dose
