source_db,query_id,record_id,doi,title,year,authors,publication,url,search_date
OpenAlex,Q4,https://openalex.org/W2106263507,10.3732/ajb.93.1.64,Correlations among traits associated with herbivore resistance and pollination: implications for pollination and nectar robbing in a distylous plant,2006,Rebecca E. Irwin; Lynn S. Adler,American Journal of Botany,https://doi.org/10.3732/ajb.93.1.64,2026-09-25
OpenAlex,Q4,https://openalex.org/W2115950208,10.1093/jxb/ert025,Control of flower size,2013,Beth Allyn Krizek; Jill T. Anderson,Journal of Experimental Botany,https://doi.org/10.1093/jxb/ert025,2026-09-25
OpenAlex,Q4,https://openalex.org/W2013177683,10.1007/s11284-008-0481-5,"Floral traits variation, legitimate pollination, and nectar robbing in Polygala vayredae (Polygalaceae)",2008,Sílvia Castro; Paulo Cardoso da Silveira; Luis Navarro,Ecological Research,https://doi.org/10.1007/s11284-008-0481-5,2026-09-25
OpenAlex,Q4,https://openalex.org/W2022629354,10.1111/j.1420-9101.2008.01669.x,Selective nectar robbing in a gynodioecious plant (Glechoma longituba) enhances female advantage,2008,Yan‐Wen ZHANG; Chun‐Feng Yang; J.‐M. ZHAO; Y H Guo,Journal of Evolutionary Biology,https://doi.org/10.1111/j.1420-9101.2008.01669.x,2026-09-25
OpenAlex,Q4,https://openalex.org/W3104024735,10.1002/ajb2.1559,Light availability influences the intensity of nectar robbery and its effects on reproduction in a tropical shrub via multiple pathways,2020,Gordon M. Fitch; John H. Vandermeer,American Journal of Botany,https://doi.org/10.1002/ajb2.1559,2026-09-25
OpenAlex,Q4,https://openalex.org/W4410500674,10.1111/1365-2745.70067,Soil moisture influences nectar robbing and plant fitness in a primrose species,2025,Yong‐Peng Cha; Rebecca E. Irwin; Yun Wu; Yin‐Mei Ma; Sha Shuang; Zhiqiang Zhang,Journal of Ecology,https://doi.org/10.1111/1365-2745.70067,2026-09-25
OpenAlex,Q4,https://openalex.org/W2943486627,10.1080/17550874.2019.1615146,"Nectar robbing does not affect female reproductive success of an endangered Antirrhinum species, Plantaginaceae",2019,Elena Carrió; Jaime Güemes,Plant Ecology & Diversity,https://doi.org/10.1080/17550874.2019.1615146,2026-09-25
OpenAlex,Q4,https://openalex.org/W1991428849,10.4236/ajps.2015.65079,"Geographic Variation in Flower Size and Flower-Visitor Composition of Two Bumblebee-Pollinated, Spring-Flowering Herbs, Lamium album L. var. barbatum (Lamiaceae) and Meehania urticifolia (Lamiaceae)",2015,Mitsuru Hattori; Yusuke Nagano; Takao Itino,American Journal of Plant Sciences,https://doi.org/10.4236/ajps.2015.65079,2026-09-25
OpenAlex,Q4,https://openalex.org/W2148710213,10.1371/journal.pone.0112013,"Gloss, Colour and Grip: Multifunctional Epidermal Cell Shapes in Bee- and Bird-Pollinated Flowers",2014,Sarah Papiorek; Robert R. Junker; Klaus Lunau,PLoS ONE,https://doi.org/10.1371/journal.pone.0112013,2026-09-25
OpenAlex,Q4,https://openalex.org/W4285087829,10.1038/s41598-022-16237-9,The Campsis-Icterus association as a model system for avian nectar-robbery studies,2022,Gary R. Graves,Scientific Reports,https://doi.org/10.1038/s41598-022-16237-9,2026-09-25
OpenAlex,Q4,https://openalex.org/W2010209270,10.1046/j.1365-2745.2001.00512.x,Variation in floral sex allocation and reproductive success within inflorescences of Corydalis ambigua (Fumariaceae): pollination efficiency or resource limitation?,2001,Gaku Kudo; Toshihiko Maeda; Kenji Narita,Journal of Ecology,https://doi.org/10.1046/j.1365-2745.2001.00512.x,2026-09-25
OpenAlex,Q4,https://openalex.org/W2313914762,10.3838/jjo.60.228,"Nectar robbing from Hibiscus flowers by White-eyes on an oceanic island, Chichi-jima, Bonin Islands",2011,Yousuke Akamatsu; Norimasa Sugita; Keisuke Ueda,Japanese Journal of Ornithology,https://doi.org/10.3838/jjo.60.228,2026-09-25
OpenAlex,Q4,https://openalex.org/W3035440908,10.3389/fpls.2020.00945,Macroevolution of Flower Color Patterning: Biased Transition Rates and Correlated Evolution with Flower Size,2020,Matthew H. Koski,Frontiers in Plant Science,https://doi.org/10.3389/fpls.2020.00945,2026-09-25
OpenAlex,Q4,https://openalex.org/W4309196696,10.1016/j.pld.2022.11.002,Floral trait variation across individual plants within a population enhances defense capability to nectar robbing,2022,Shuang Tie; Yong‐Deng He; Amparo Lázaro; David W. Inouye; You‐Hao Guo; Chun‐Feng Yang,Acta Botanica Yunnanica,https://doi.org/10.1016/j.pld.2022.11.002,2026-09-25
OpenAlex,Q4,https://openalex.org/W4388595741,10.1002/ece3.10714,Nectar robbing by bees affects the reproductive fitness of the distylous plant Tirpitzia sinensis (Linaceae),2023,Xiaoyue Wang; Renxiu Yao; Xiaoqin Lv; Yin Yi; Xiaoxin Tang,Ecology and Evolution,https://doi.org/10.1002/ece3.10714,2026-09-25
OpenAlex,Q4,https://openalex.org/W3207676228,10.26786/1920-7603(2021)620,Catching the thief: Nectar robbing behaviour by bumblebees on naturalised Fuchsia magellanica in Ireland,2021,Dara Anne Stanley; Emmeline Cosnett,Journal of Pollination Ecology,https://doi.org/10.26786/1920-7603(2021)620,2026-09-25
