source_db,query_id,record_id,doi,title,year,authors,publication,url,search_date
OpenAlex,Q1,https://openalex.org/W2106263507,10.3732/ajb.93.1.64,Correlations among traits associated with herbivore resistance and pollination: implications for pollination and nectar robbing in a distylous plant,2006,Rebecca E. Irwin; Lynn S. Adler,American Journal of Botany,https://doi.org/10.3732/ajb.93.1.64,2026-09-25
OpenAlex,Q1,https://openalex.org/W2125284390,10.1007/s004420100640,Preferential nectar robbing of flowers with long corollas: experimental studies of two hummingbird species visiting three plant species,2001,Carlos Lara; Juan Francisco Ornelas,Oecologia,https://doi.org/10.1007/s004420100640,2026-09-25
OpenAlex,Q1,https://openalex.org/W3155401674,10.1007/s10265-021-01299-z,Corolla stickiness prevents nectar robbing in Erica,2021,Sam McCarren; Anina Coetzee; Jeremy J. Midgley,Journal of Plant Research,https://doi.org/10.1007/s10265-021-01299-z,2026-09-25
OpenAlex,Q1,https://openalex.org/W2101437210,10.1111/j.1469-8137.2011.03785.x,Selective seed abortion induced by nectar robbing in the selfing plant Comastoma pulmonarium,2011,Chan Zhang; Rebecca E. Irwin; Wang Yun; Ya‐Ping He; Yongping Yang; Yuan‐Wen Duan,New Phytologist,https://doi.org/10.1111/j.1469-8137.2011.03785.x,2026-09-25
OpenAlex,Q1,https://openalex.org/W2120142743,10.1111/j.1558-5646.2008.00327.x,THE ROLE OF POLLINATOR SHIFTS IN THE FLORAL DIVERSIFICATION OF IOCHROMA (SOLANACEAE),2008,Stacey D. Smith; Cécile Ané; David Baum,Evolution,https://doi.org/10.1111/j.1558-5646.2008.00327.x,2026-09-25
OpenAlex,Q1,https://openalex.org/W2464209266,10.1007/s10682-014-9736-5,Long corollas as nectar barriers in Lonicera implexa: interactions between corolla tube length and nectar volume,2015,Amparo Lázaro; Clara Vignolo; Luis Gerardo Samaniego Santamaría,Evolutionary Ecology,https://doi.org/10.1007/s10682-014-9736-5,2026-09-25
OpenAlex,Q1,https://openalex.org/W2022629354,10.1111/j.1420-9101.2008.01669.x,Selective nectar robbing in a gynodioecious plant (Glechoma longituba) enhances female advantage,2008,Yan‐Wen ZHANG; Chun‐Feng Yang; J.‐M. ZHAO; Y H Guo,Journal of Evolutionary Biology,https://doi.org/10.1111/j.1420-9101.2008.01669.x,2026-09-25
OpenAlex,Q1,https://openalex.org/W2528815145,10.3732/ajb.1600114,Geographic variation in resistance to nectar robbing and consequences for pollination,2016,Lynn S. Adler; Lissa M. Leege; Rebecca E. Irwin,American Journal of Botany,https://doi.org/10.3732/ajb.1600114,2026-09-25
OpenAlex,Q1,https://openalex.org/W2062696305,10.1007/s00606-013-0794-x,Pollinators and nectar robbers cause directional selection for large spur circle in Impatiens oxyanthera (Balsaminaceae),2013,Qiong Wang; Yunxiang Li; Xiaozhen Pu; Liying Zhu; Tang Zheng; Qing Liu,Plant Systematics and Evolution,https://doi.org/10.1007/s00606-013-0794-x,2026-09-25
OpenAlex,Q1,https://openalex.org/W2034721418,10.1007/s00442-013-2797-2,Plant–animal interactions in suburban environments: implications for floral evolution,2013,Rebecca E. Irwin; Paige S. Warren; Adrian L. Carper; Lynn S. Adler,Oecologia,https://doi.org/10.1007/s00442-013-2797-2,2026-09-25
OpenAlex,Q1,https://openalex.org/W3203314112,10.3389/fevo.2021.709876,Low Pollinator Sharing Between Coexisting Native and Non-native Plant Pairs: The Effect of Corolla Length and Flower Abundance,2021,Mohamad Abdallah; Sandra Hervías‐Parejo; Anna Traveset,Frontiers in Ecology and Evolution,https://doi.org/10.3389/fevo.2021.709876,2026-09-25
OpenAlex,Q1,https://openalex.org/W1499119639,10.1111/j.1442-9993.2011.02320.x,Differential effects of anthropogenic edges and gaps on the reproduction of a forest‐dwelling plant: The role of plant reproductive effort and nectar robbing by bumblebees,2011,Ainhoa Magrach; Luis Gerardo Samaniego Santamaría; Asier R. Larrinaga,Austral Ecology,https://doi.org/10.1111/j.1442-9993.2011.02320.x,2026-09-25
OpenAlex,Q1,https://openalex.org/W4386495848,10.1111/plb.13575,Flower orientation and corolla length as reproductive barriers in the pollinator‐driven divergence of Erica shannonea and Erica ampullacea,2023,Sam McCarren; Steven D. Johnson; Genevieve L. Theron; Anina Coetzee; R. Turner; Jeremy J. Midgley,Plant Biology,https://doi.org/10.1111/plb.13575,2026-09-25
OpenAlex,Q1,https://openalex.org/W4309196696,10.1016/j.pld.2022.11.002,Floral trait variation across individual plants within a population enhances defense capability to nectar robbing,2022,Shuang Tie; Yong‐Deng He; Amparo Lázaro; David W. Inouye; You‐Hao Guo; Chun‐Feng Yang,Acta Botanica Yunnanica,https://doi.org/10.1016/j.pld.2022.11.002,2026-09-25
OpenAlex,Q1,https://openalex.org/W3129629679,10.7818/ecos.2013.22-2.16,Asociación entre el robo de néctar y las características florales en una comunidad montana de los Andes colombianos,2013,Sandra V. Rojas‐Nossa,Ecosistemas,https://doi.org/10.7818/ecos.2013.22-2.16,2026-09-25
OpenAlex,Q1,https://openalex.org/W4394910049,10.1371/journal.pone.0300398,Floral visitors of sesame (Sesamum indicum L.): Elucidating their nectar-robbing behaviour and impacts on the plant reproduction,2024,Ujjwal Layek; T. P. S. Bhandari; Alokesh Das; Prakash Karmakar,PLoS ONE,https://doi.org/10.1371/journal.pone.0300398,2026-09-25
OpenAlex,Q1,https://openalex.org/W3164242958,10.1186/s40657-021-00256-7,The flowerpiercers interactions with a community of high Andean plants,2021,Jairo Andrés Cuta-Pineda; Luis Alejandro Arias-Sosa; Roxibell C. Pelayo,Avian Research,https://doi.org/10.1186/s40657-021-00256-7,2026-09-25
OpenAlex,Q1,https://openalex.org/W1991428849,10.4236/ajps.2015.65079,"Geographic Variation in Flower Size and Flower-Visitor Composition of Two Bumblebee-Pollinated, Spring-Flowering Herbs, Lamium album L. var. barbatum (Lamiaceae) and Meehania urticifolia (Lamiaceae)",2015,Mitsuru Hattori; Yusuke Nagano; Takao Itino,American Journal of Plant Sciences,https://doi.org/10.4236/ajps.2015.65079,2026-09-25
OpenAlex,Q1,https://openalex.org/W4402499914,10.1111/aec.13591,Long corolla flowers in Tropical Andes favour nectar robbing by the Black Metaltail hummingbird: A study using citizen science and field observations,2024,Ettore Camerlenghi; Giselle Mangini; Rodolfo O. Anderson; Albert Cruz‐Gispert; R. Loosveld; Paúl Gonzáles; Sergio Nolazco,Austral Ecology,https://doi.org/10.1111/aec.13591,2026-09-25
