source_db,query_id,record_id,doi,title,year,authors,publication,url,search_date
OpenAlex,Q5,https://openalex.org/W2024969640,10.1038/srep07721,Asymmetrical disassortative pollination in a distylous primrose: the complementary roles of bumblebee nectar robbers and syrphid flies,2015,Xingfu Zhu; Xianfeng Jiang; Li Li; Zhiqiang Zhang; Qingjun Li,Scientific Reports,https://doi.org/10.1038/srep07721,2026-09-25
OpenAlex,Q5,https://openalex.org/W2799473788,10.1590/1809-4392201703932,Biting the hand that feeds you: wedge-billed hummingbird is a nectar robber of a sicklebill-adapted Andean bellflower,2018,Mannfred M. A. Boehm,Acta Amazonica,https://doi.org/10.1590/1809-4392201703932,2026-09-25
OpenAlex,Q5,https://openalex.org/W1975874549,10.1111/oik.01439,"Species traits and abundances predict metrics of plant–pollinator network structure, but not pairwise interactions",2014,Colin Olito; Jeremy W. Fox,Oikos,https://doi.org/10.1111/oik.01439,2026-09-25
OpenAlex,Q5,https://openalex.org/W1988052944,10.1100/2012/381575,Morphofunctional Traits and Pollination Mechanisms ofCoronilla emerusL. Flowers (Fabaceae),2012,Giovanna Aronne; Manuela Giovanetti; Veronica De Micco,The Scientific World JOURNAL,https://doi.org/10.1100/2012/381575,2026-09-25
OpenAlex,Q5,https://openalex.org/W2106353129,10.1016/j.sajb.2009.08.001,Hyper-specialization for long-billed bird pollination in a guild of South African plants: the Malachite Sunbird pollination syndrome,2009,Sjirk Geerts; Anton Pauw,South African Journal of Botany,https://doi.org/10.1016/j.sajb.2009.08.001,2026-09-25
OpenAlex,Q5,https://openalex.org/W4415079374,10.15381/rpb.v32i3.30866,Nectar robbery in Campsidium valdivianum: observations on floral morphology and the role of bumblebees and birds in southern Chile,2025,Carlos E. Valdivia; José I. Orellana; Alberto Gantz,Revista Peruana de Biología,https://doi.org/10.15381/rpb.v32i3.30866,2026-09-25
OpenAlex,Q5,https://openalex.org/W2616217046,10.1111/plb.12581,"Pollinators shift to nectar robbers when florivory occurs, with effects on reproductive success in Iris bulleyana (Iridaceae)",2017,Zhong‐Ming Ye; Xiao‐Fang Jin; Qingfeng Wang; Chaodong Yang; David W. Inouye,Plant Biology,https://doi.org/10.1111/plb.12581,2026-09-25
OpenAlex,Q5,https://openalex.org/W4206194090,10.3389/fpls.2021.767725,Breeding System and Response of the Pollinator to Floral Larceny and Florivory Define the Reproductive Success in Aerides odorata,2022,Arjun Adit; Vineet Kumar Singh; Monika Koul; Rajesh Tandon,Frontiers in Plant Science,https://doi.org/10.3389/fpls.2021.767725,2026-09-25
OpenAlex,Q5,https://openalex.org/W2072695199,10.1890/07-1491.1,ALIEN BUMBLE BEE AFFECTS NATIVE PLANT REPRODUCTION THROUGH INTERACTIONS WITH NATIVE BUMBLE BEES,2008,Ikumi Dohzono; Yoko Kawate Kunitake; Jun Yokoyama; Koichi Goka,Ecology,https://doi.org/10.1890/07-1491.1,2026-09-25
OpenAlex,Q5,https://openalex.org/W2135760954,10.1093/aob/mct219,Floral adaptation to local pollinator guilds in a terrestrial orchid,2013,Mimi Sun; Karin Gross; Florian P. Schiestl,Annals of Botany,https://doi.org/10.1093/aob/mct219,2026-09-25
OpenAlex,Q5,https://openalex.org/W2282457855,10.1371/journal.pone.0144585,Impact of Striped-Squirrel Nectar-Robbing Behaviour on Gender Fitness in Alpinia roxburghii Sweet (Zingiberaceae),2015,Xiaobao Deng; Dharmalingam Mohandass; Masatoshi Katabuchi; Alice Catherine Hughes; David Ward Roubik,PLoS ONE,https://doi.org/10.1371/journal.pone.0144585,2026-09-25
OpenAlex,Q5,https://openalex.org/W4282835713,10.1002/ecs2.4077,Nectar robbing rather than pollinator availability constrains reproduction of a bee‐flowered plant at high elevations,2022,Patrick L. Kohl; Ingolf Steffan‐Dewenter,Ecosphere,https://doi.org/10.1002/ecs2.4077,2026-09-25
